dates,cyclist_type,avg_ride_length,total_riders
2/15/2022,casual,22.40378103,930
2/15/2022,member,10.77864156,4899
2/16/2022,casual,19.59123331,943
2/16/2022,member,10.68355687,4988
2/17/2022,casual,19.5779023,356
2/17/2022,member,10.30748312,2216
2/18/2022,casual,21.3745011,468
2/18/2022,member,11.1933609,2390
2/19/2022,casual,44.82461049,621
2/19/2022,member,11.15538042,2193
2/20/2022,casual,28.47651694,1428
2/20/2022,member,12.92519959,3418
2/21/2022,casual,30.68404534,1591
2/21/2022,member,11.62694884,5109
2/22/2022,casual,21.98201026,567
2/22/2022,member,9.549968327,3190
2/23/2022,casual,23.4770377,736
2/23/2022,member,10.09211052,4390
2/24/2022,casual,27.14925695,561
2/24/2022,member,9.778797199,3454
2/25/2022,casual,23.86585594,617
2/25/2022,member,11.03229968,2871
2/26/2022,casual,25.71038888,1062
2/26/2022,member,11.7246807,3109
2/27/2022,casual,26.09478495,1630
2/27/2022,member,12.27064664,3689
2/28/2022,casual,21.38068877,1664
2/28/2022,member,11.48110653,6273
3/1/2022,casual,24.48740768,1857
3/1/2022,member,11.31915299,6870
3/2/2022,casual,36.99654149,2323
3/2/2022,member,11.62451604,7323
3/3/2022,casual,27.13970166,1387
3/3/2022,member,10.10225864,5622
3/4/2022,casual,27.47122519,1923
3/4/2022,member,11.69404238,5822
3/5/2022,casual,40.48193878,9910
3/5/2022,member,16.68652453,8956
3/6/2022,casual,45.74132192,2347
3/6/2022,member,11.20078178,4262
3/7/2022,casual,36.17222897,785
3/7/2022,member,10.9681226,3937
3/8/2022,casual,29.48383743,1652
3/8/2022,member,10.48255274,6878
3/9/2022,casual,24.74149221,2010
3/9/2022,member,11.6164239,7081
3/10/2022,casual,19.46125991,1304
3/10/2022,member,10.63033491,5409
3/11/2022,casual,37.16301087,1190
3/11/2022,member,10.23459771,4362
3/12/2022,casual,39.92098773,1508
3/12/2022,member,11.04306032,3264
3/13/2022,casual,43.70065378,3720
3/13/2022,member,13.32430376,5185
3/14/2022,casual,29.66368361,4012
3/14/2022,member,12.57075148,8331
3/15/2022,casual,25.26740707,2925
3/15/2022,member,11.82190485,7903
3/16/2022,casual,31.61518221,7423
3/16/2022,member,13.56248416,11557
3/17/2022,casual,38.87790454,6076
3/17/2022,member,11.67738392,10108
3/18/2022,casual,22.84839939,1406
3/18/2022,member,9.709794841,3922
3/19/2022,casual,22.98065494,1755
3/19/2022,member,11.63350487,3588
3/20/2022,casual,36.45646347,8643
3/20/2022,member,15.51754454,8578
3/21/2022,casual,40.69533561,8176
3/21/2022,member,14.45817074,11196
3/22/2022,casual,19.21724773,1978
3/22/2022,member,10.34914808,5754
3/23/2022,casual,34.75171395,1750
3/23/2022,member,11.18283708,5478
3/24/2022,casual,21.44538911,1699
3/24/2022,member,11.07782824,5359
3/25/2022,casual,20.6318167,2638
3/25/2022,member,11.93141816,6380
3/26/2022,casual,23.02810913,1809
3/26/2022,member,10.81475425,3844
3/27/2022,casual,31.05833748,1867
3/27/2022,member,11.79709341,4043
3/28/2022,casual,21.2910723,1473
